Name,Description,Latitude,Longitude,InfoURL,ImageURL
,,,,,
UCSB,The beautiful university which near California Coast.,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://images.law.com/contrib/content/uploads/sites/403/2018/08/santa-barbara.jpg
,,,,,
OUE Skyspace LA,A skyscraper which has the wonderful view of the whole LA.,34.051314,-118.254409,https://www.alltopsights.com/attraction-oue-skyspace-la-california-ca/,http://www.inarabymay.com/wp-content/uploads/2017/02/16806673_10154648069317639_17045897013410789_n.jpg
,,,,,
Golden Gate Bridge,The most famous bridge in California.,37.820251,-122.477751,https://en.wikipedia.org/wiki/Golden_Gate_Bridge,https://www.sftravel.com/sites/sftraveldev.prod.acquia-sites.com/files/landmark-images/golden-gate_web.jpg
,,,,,
Santa Barbara Zoo,"Small zoo with hundreds of animals in natural habitats, a miniature train ride & picnic spots.",34.420718,-119.666418,https://en.wikipedia.org/wiki/Santa_Barbara_Zoo,https://santabarbaraca.com/content/uploads/2016/07/original__D6X97520_cad35910-5056-a348-3a7022bfef0dac68.jpg
,,,,,
Sea World San Diego,There are many marine life shows amd beautiful marine animals.,32.767544,-117.216485,https://www.sandiego.org/members/attractions/seaworld-san-diego.aspx,https://cache.undercovertourist.com/blog/2019/02/0319-seaworld-shows-attractions-sign.jpg
,,,,,
Yosemite National Park,Iconic national park offers an array of options such as hiking among redwoods & river rafting.,37.866236,-119.537993,https://en.wikipedia.org/wiki/Yosemite_National_Park,https://media.timeout.com/images/105277843/630/472/image.jpg
